Serial_number,document_id,URL,Credibility_rating,ad_count,ad_max_size,css_definitions,page_rank,bitly_clicks,bitly_referrers,tweets,delicious_bookmarks,fb_clicks,fb_comments,fb_likes,fb_shares,fb_total,alexa_linksin,alexa_rank,commas,dots,exclamations,questions,spelling_errors,text_complexity,smog,category,JJ,NN,DT,VB,RB,num_ne,sum_ne,document_url_y,X1,X2,X3,X4,X5,X9,Total,Leik,Eijk,Tastle,Leik 3 4 6,correction,resp_HNC,Controversial,troia_label
10,2215553,http://games.t45ol.com/game/9532/trollface-sniper.html,3.6,6.0,75000.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,19.0,44226.0,3.0,3.0,4.0,0.0,7.0,2.752179974,3.1291,computer_internet,8.0,49.0,17.0,23.0,11.0,,,com,0.0,1.0,1.0,2.0,1.0,0.0,5.0,0.6,0.4,0.620614918,0.6,0.0,2,U,3.0
11,2215232,http://www.foxnews.com/entertainment/2012/02/11/whitney-houston-dies-at-48/,4.8,5.0,165000.0,2472.0,4.0,16253.0,412.0,2444.0,1.0,0.0,6.0,6651.0,6829.0,13486.0,94647.0,148.0,117.0,120.0,0.0,2.0,145.0,5.369511649,8.841846275,arts_entertainment,135.0,807.0,177.0,315.0,69.0,14.0,138.0,com,0.0,0.0,0.0,1.0,4.0,0.0,5.0,0.9,0.9,0.876413916,0.84,0.0,3,U,5.0
12,2569664,http://www.telegraph.co.uk/culture/film/film-news/9800973/Golden-Globes-2013-wins-for-political-films-send-Oscars-predictions-into-a-spin.html,4.333333333333333,6.0,96000.0,3099.0,5.0,2.0,2.0,19.0,0.0,0.0,1.0,3.0,5.0,9.0,152810.0,236.0,47.0,24.0,0.0,1.0,45.0,3.74654583,14.55459255,arts_entertainment,61.0,258.0,85.0,85.0,27.0,8.0,40.0,uk,0.0,0.0,1.0,2.0,3.0,0.0,6.0,0.666666667,0.666666667,0.72914542,0.533333333,0.0,3,U,4.0
13,2547224,http://www.amazon.com/Herbalife-Niteworks-Powder-10-6oz-Original/product-reviews/B0009XFJ40,3.0,0.0,0.0,1042.0,1.0,1021.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165832.0,9.0,29.0,150.0,4.0,6.0,62.0,7.220339848,11.20814326,health,93.0,518.0,120.0,258.0,83.0,4.0,20.0,com,1.0,1.0,2.0,1.0,1.0,0.0,6.0,0.5,0.166666667,0.528320834,0.533333333,0.0,2,C,1.0
14,2200032,http://www.tax.ok.gov/incometax.html,3.8,0.0,0.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,206.0,31496.0,2.0,1.0,1.0,0.0,6.0,2.319148621,22.9186336,computer_internet,,77.0,,1.0,,2.0,4.0,gov,1.0,0.0,0.0,2.0,2.0,2.0,7.0,0.5,0.133333333,0.417177379,0.44,-1.0,2,U,5.0
15,2214080,http://www.knoxville.com/news/2012/sep/04/knoxville-music-imagine-dragons-night-visions/?partner=RSS,3.75,0.0,0.0,1004.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,278471.0,34.0,16.0,1.0,4.0,39.0,3.134656802,14.55459255,arts_entertainment,51.0,115.0,35.0,41.0,21.0,4.0,13.0,com,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.875,0.875,0.855277876,0.9,0.0,2,U,3.0
16,2213089,http://movies.yahoo.com/blogs/2013-oscars/2013-oscar-nominations-announcement-223312562.html,4.571428571428571,0.0,0.0,3135.0,5.0,68496.0,500.0,757.0,1.0,0.0,1948.0,1359.0,1313.0,4620.0,6989.0,4.0,36.0,17.0,0.0,0.0,92.0,3.896230782,15.90318901,arts_entertainment,53.0,234.0,44.0,53.0,9.0,6.0,59.0,com,0.0,0.0,1.0,1.0,5.0,0.0,7.0,0.785714286,0.785714286,0.748603119,0.714285714,0.0,3,U,5.0
17,2197573,http://children.webmd.com/features/whooping-cough-what-you-need-to-know,4.571428571428571,11.0,109174.0,232.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,22.0,38.0,592.0,353.0,23.0,22.0,0.0,5.0,25.0,3.880218421,11.20814326,health,46.0,137.0,39.0,83.0,25.0,7.0,33.0,com,0.0,0.0,1.0,1.0,5.0,0.0,7.0,0.785714286,0.785714286,0.748603119,0.714285714,0.0,3,U,5.0
18,2196483,http://www.faim.org/guestwriters/root-cause-autoimmune-disease.html,4.166666666666667,0.0,0.0,43.0,4.0,3.0,1.0,13.0,0.0,0.0,42.0,85.0,98.0,225.0,172.0,1150480.0,86.0,77.0,0.0,5.0,104.0,6.036245516,15.90318901,health,185.0,596.0,169.0,263.0,133.0,7.0,73.0,org,0.0,0.0,0.0,5.0,1.0,0.0,6.0,0.916666667,0.916666667,0.892660382,0.866666667,0.0,2,U,5.0
19,2196443,http://www.health-truth.com/131.php,4.8,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,969742.0,101.0,97.0,0.0,1.0,48.0,5.485624912,14.55459255,health,120.0,605.0,160.0,278.0,61.0,12.0,77.0,com,0.0,0.0,0.0,1.0,4.0,0.0,5.0,0.9,0.9,0.876413916,0.84,0.0,3,U,1.0
20,2196836,http://www.nimh.nih.gov/health/publications/depression/how-is-depression-diagnosed-and-treated.shtml,4.833333333333333,0.0,0.0,853.0,5.0,33.0,2.0,4.0,0.0,0.0,0.0,1.0,7.0,8.0,3727.0,334.0,117.0,117.0,0.0,3.0,128.0,6.009854906,14.55459255,health,215.0,696.0,172.0,329.0,91.0,8.0,107.0,gov,0.0,0.0,0.0,1.0,5.0,0.0,6.0,0.916666667,0.916666667,0.892660382,0.866666667,0.0,3,U,5.0
21,2197348,http://articles.chicagotribune.com/2011-12-12/health/ct-met-nccam-tact-trial-20111212_1_chelation-clinical-trials-study-drug,4.571428571428571,0.0,0.0,1646.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2248.0,1260.0,30.0,27.0,0.0,1.0,18.0,3.656684688,14.55459255,health,46.0,185.0,56.0,77.0,13.0,6.0,17.0,com,0.0,0.0,1.0,1.0,5.0,0.0,7.0,0.785714286,0.785714286,0.748603119,0.714285714,0.0,3,U,4.0
22,2200150,http://www.nd.gov/tax/business/forms/,4.818181818181818,0.0,0.0,145.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12454.0,35239.0,11.0,20.0,0.0,0.0,40.0,4.294210144,20.26733882,business,21.0,300.0,12.0,26.0,4.0,5.0,11.0,gov,0.0,0.0,0.0,2.0,9.0,0.0,11.0,0.909090909,0.909090909,0.885061367,0.854545455,0.0,3,U,5.0
23,2201350,http://www.stockresearchpro.com/the-benefits-of-bond-investing/,3.0,3.0,96000.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1185758.0,11.0,19.0,0.0,0.0,12.0,3.632475697,15.90318901,business,48.0,137.0,38.0,47.0,13.0,4.0,4.0,com,0.0,2.0,1.0,2.0,0.0,1.0,6.0,0.6,0.366666667,0.667970001,0.68,0.0,2,U,1.0
24,2200456,http://www.directgeneral.com/learn/affordable-insurance.aspx,3.4,0.0,0.0,293.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5506.0,195098.0,17.0,15.0,0.0,0.0,11.0,3.271194245,14.55459255,business,31.0,108.0,20.0,51.0,11.0,1.0,4.0,com,0.0,1.0,2.0,1.0,1.0,0.0,5.0,0.6,0.4,0.620614918,0.6,0.0,2,U,2.0
25,2199429,http://jobsearch.about.com/od/unemployment/a/unemployment.htm,4.0,6.0,94080.0,2072.0,4.0,88.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,20.0,16.0,0.0,1.0,8.0,3.661730332,15.90318901,law_crime,11.0,135.0,14.0,56.0,8.0,,,com,0.0,0.0,2.0,0.0,2.0,1.0,5.0,0.5,0.166666667,0.584962501,0.4,-1.0,C,U,2.0
26,2199355,http://reviews.money.co.uk/The-Co-operative-Bank.htm,4.333333333333333,2.0,65520.0,1898.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1706.0,15288.0,73.0,135.0,11.0,8.0,121.0,6.273026165,13.0238668,computer_internet,218.0,878.0,205.0,317.0,132.0,6.0,46.0,uk,0.0,0.0,1.0,0.0,2.0,2.0,5.0,0.666666667,0.444444444,0.629656229,0.6,0.0,3,U,2.0
27,2546785,http://qwstion.com/page.php?ntr=29382&page=disadvantages-of-interest-only-loans&BMJ=1358403601,1.8333333333333333,0.0,0.0,340.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1153911.0,19.0,19.0,0.0,0.0,76.0,2.964481332,13.0238668,business,25.0,195.0,13.0,67.0,16.0,7.0,26.0,com,4.0,0.0,1.0,1.0,0.0,0.0,6.0,0.583333333,0.555555556,0.504804918,0.666666667,0.0,1,U,1.0
28,2547108,http://cashmoneylife.com/disadvantages-of-direct-stock-purchase-plans/,4.324324324324325,18.0,96000.0,593.0,2.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1084.0,113761.0,6.0,13.0,0.0,2.0,4.0,3.367909999,13.0238668,business,19.0,100.0,29.0,42.0,15.0,1.0,4.0,com,0.0,1.0,3.0,16.0,17.0,1.0,38.0,0.702702703,0.662162162,0.743639019,0.578378378,0.0,2,U,5.0
29,2207555,http://www.socialstudieshelp.com/lesson_84_notes.htm,4.333333333333333,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,431538.0,38.0,88.0,0.0,4.0,49.0,4.885743417,8.841846275,culture_politics,67.0,455.0,128.0,239.0,61.0,9.0,38.0,com,1.0,1.0,4.0,9.0,21.0,0.0,36.0,0.666666667,0.666666667,0.643295906,0.566666667,0.0,3,U,5.0
30,2201758,http://coconutoilcooking.com/coconut-oil-blog-posts/spirit-of-giving/,4.5,0.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,995054.0,6.0,10.0,3.0,2.0,9.0,3.251104114,8.841846275,culture_politics,9.0,118.0,24.0,39.0,7.0,4.0,4.0,com,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.75,0.75,0.807354922,0.6,0.0,3,U,2.0
31,2547263,http://health.yahoo.net/experts/dayinhealth/running-may-be-harmful-your-heart,4.4,5.0,75000.0,1984.0,5.0,5371.0,333.0,329.0,5.0,0.0,3640.0,3908.0,2009.0,9557.0,732.0,4.0,57.0,32.0,0.0,1.0,27.0,4.030525796,15.90318901,health,79.0,247.0,60.0,83.0,28.0,7.0,18.0,net,0.0,0.0,1.0,1.0,3.0,0.0,5.0,0.7,0.7,0.704622554,0.6,0.0,3,U,4.0
32,2547339,http://amazingdiscoveries.org/H-deception_aspartame_excitotoxin_Mercola,4.142857142857143,0.0,0.0,442.0,2.0,0.0,0.0,4.0,0.0,0.0,15.0,3.0,6.0,24.0,575.0,148663.0,169.0,173.0,0.0,0.0,157.0,5.664390728,14.55459255,health,200.0,990.0,198.0,325.0,89.0,9.0,135.0,org,0.0,0.0,1.0,4.0,2.0,0.0,7.0,0.785714286,0.714285714,0.801265269,0.714285714,0.0,2,U,2.0
33,2207892,http://www.elderlawanswers.com/report-medicare-advantage-plans-can-be-too-good-to-be-true-6247,3.8,0.0,0.0,787.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.0,482424.0,13.0,10.0,0.0,0.0,5.0,3.075081245,15.90318901,computer_internet,23.0,87.0,26.0,36.0,9.0,1.0,12.0,com,0.0,0.0,3.0,0.0,2.0,1.0,6.0,0.6,0.333333333,0.601013874,0.52,0.0,2,U,5.0
34,2201902,http://politix.topix.com/homepage/3782-gun-control-wont-prevent-mass-shootings-says-criminologist,3.6,0.0,0.0,1297.0,2.0,24.0,3.0,344.0,0.0,0.0,21.0,87.0,72.0,180.0,24491.0,957.0,13.0,9.0,0.0,2.0,16.0,2.910031191,14.55459255,law_crime,19.0,68.0,18.0,42.0,16.0,2.0,5.0,com,0.0,0.0,2.0,3.0,0.0,1.0,6.0,0.8,0.8,0.815012042,0.84,0.0,2,U,1.0
35,2207582,http://www.brecorder.com/world/europe/87785-poland-must-choose-shale-gas-or-nuclear.html,4.857142857142857,1.0,36000.0,1463.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,10.0,11.0,22.0,3275.0,23859.0,15.0,17.0,0.0,0.0,34.0,3.544009252,15.90318901,business,45.0,164.0,32.0,55.0,13.0,6.0,34.0,com,0.0,0.0,0.0,1.0,6.0,0.0,7.0,0.928571429,0.928571429,0.905324597,0.885714286,0.0,3,U,5.0
36,2213283,http://www.gametracker.com/server_info/80.249.165.97:29002/,3.75,9.0,65520.0,696.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11853.0,7305.0,5.0,45.0,5.0,2.0,66.0,3.625950227,8.841846275,computer_internet,10.0,265.0,8.0,17.0,3.0,3.0,7.0,com,0.0,1.0,0.0,2.0,1.0,0.0,4.0,0.625,0.333333333,0.610784453,0.6,0.0,2,U,2.0
37,2215107,http://en.wikipedia.org/wiki/Breaking_Bad_(season_5),4.7073170731707314,0.0,0.0,780.0,4.0,6.0,4.0,37.0,2.0,0.0,259.0,127.0,228.0,614.0,2158674.0,5.0,49.0,43.0,0.0,0.0,55.0,4.335317753,11.20814326,arts_entertainment,56.0,360.0,97.0,133.0,32.0,5.0,89.0,org,0.0,0.0,2.0,8.0,31.0,1.0,42.0,0.853658537,0.853658537,0.82316642,0.785365854,0.0,3,U,5.0
38,2570529,http://www.mommyonashoestring.com/blog/?p=2483,4.333333333333333,0.0,0.0,73.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,3187937.0,8.0,7.0,5.0,0.0,21.0,2.704658643,8.841846275,arts_entertainment,14.0,76.0,20.0,23.0,1.0,4.0,6.0,com,0.0,0.0,2.0,2.0,5.0,0.0,9.0,0.666666667,0.666666667,0.695982356,0.555555556,0.0,3,U,5.0
39,2213138,http://www.washingtonpost.com/blogs/she-the-people/wp/2012/12/07/the-sad-saga-of-kate-middletons-pregnancy/,4.4,10.0,285600.0,1718.0,5.0,200.0,13.0,14.0,0.0,0.0,71.0,38.0,36.0,145.0,172764.0,294.0,23.0,32.0,0.0,4.0,26.0,3.946153496,13.0238668,culture_politics,49.0,250.0,81.0,96.0,11.0,4.0,38.0,com,0.0,0.0,1.0,1.0,3.0,0.0,5.0,0.7,0.7,0.704622554,0.6,0.0,3,U,2.0
40,2215658,http://usatoday30.usatoday.com/life/music/ontheverge/story/2012-05-17/imagine-dragons-on-the-verge/55054514/1,4.833333333333333,4.0,180000.0,873.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,139983.0,330.0,31.0,43.0,0.0,1.0,61.0,3.999598574,8.841846275,arts_entertainment,36.0,247.0,60.0,109.0,27.0,8.0,31.0,com,0.0,0.0,0.0,1.0,5.0,0.0,6.0,0.916666667,0.916666667,0.892660382,0.866666667,0.0,3,U,1.0
41,2225153,http://insidemovies.ew.com/2013/01/15/lovelace-new-image-from-amanda-seyfried-porn-drama-exclusive/,4.0,6.0,75000.0,1091.0,5.0,116.0,18.0,86.0,0.0,0.0,57.0,200.0,38.0,295.0,1357.0,1391.0,23.0,12.0,0.0,0.0,20.0,3.021186008,13.0238668,arts_entertainment,19.0,144.0,31.0,34.0,9.0,5.0,30.0,com,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.666666667,0.5,0.723308334,0.6,0.0,2,U,3.0
42,83727,http://www.nlm.nih.gov/medlineplus/news/fullstory_131096.html,4.5,0.0,0.0,635.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0,188.0,334.0,38.0,43.0,0.0,0.0,27.0,4.098185941,14.55459255,health,55.0,232.0,85.0,113.0,15.0,9.0,37.0,gov,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.75,0.75,0.807354922,0.6,0.0,3,U,5.0
43,2196416,http://www.healthychildren.org/English/health-issues/conditions/skin/pages/West-Nile-Virus.aspx,4.8,0.0,0.0,3341.0,4.0,45.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3752.0,68258.0,40.0,27.0,0.0,0.0,12.0,3.956818104,13.0238668,health,43.0,223.0,47.0,96.0,31.0,7.0,42.0,org,0.0,0.0,0.0,2.0,8.0,0.0,10.0,0.9,0.9,0.876413916,0.84,0.0,3,U,5.0
44,2199044,http://www.businessknowledgesource.com/finance/advantages_and_disadvantages_of_debt_financing_031039.html,3.6666666666666665,11.0,75000.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,138781.0,42.0,32.0,0.0,0.0,3.0,4.508887841,13.0238668,business,65.0,248.0,44.0,100.0,26.0,2.0,2.0,com,1.0,1.0,1.0,3.0,3.0,0.0,9.0,0.5,0.333333333,0.471435041,0.466666667,-1.0,2,C,4.0
45,2196512,http://www.mayoclinic.com/health/depression/DS00175/DSECTION%3Dalternative-medicine,4.5,3.0,2100.0,691.0,7.0,21.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,11.0,40312.0,1173.0,9.0,10.0,0.0,0.0,5.0,2.633238954,13.0238668,health,21.0,51.0,8.0,23.0,9.0,1.0,14.0,com,1.0,0.0,0.0,1.0,8.0,0.0,10.0,0.75,0.616666667,0.52661943,0.72,0.0,3,U,5.0
46,2197374,http://www.whitakerwellness.com/health-concerns/heart-disease/,4.0,0.0,0.0,1939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,260.0,1405294.0,21.0,16.0,0.0,0.0,17.0,3.450270474,17.1224134,health,44.0,160.0,33.0,37.0,15.0,5.0,15.0,com,0.0,0.0,2.0,2.0,2.0,0.0,6.0,0.666666667,0.5,0.723308334,0.6,0.0,2,U,2.0
47,2546690,http://www.pru.co.uk/investments/bonds/,4.4,0.0,0.0,1654.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,559.0,342849.0,9.0,16.0,0.0,4.0,9.0,3.986048446,14.55459255,business,24.0,240.0,27.0,51.0,7.0,1.0,2.0,uk,0.0,0.0,1.0,1.0,3.0,0.0,5.0,0.7,0.7,0.704622554,0.6,0.0,3,U,3.0
48,2196528,http://www.webmd.com/depression/features/natural-treatments,4.555555555555555,10.0,180000.0,221.0,5.0,7.0,2.0,17.0,3.0,0.0,56.0,62.0,151.0,269.0,66583.0,352.0,73.0,104.0,1.0,32.0,148.0,5.999749751,11.20814326,,96.0,1225.0,95.0,243.0,59.0,,,com,0.0,0.0,1.0,2.0,6.0,0.0,9.0,0.777777778,0.777777778,0.759833247,0.688888889,0.0,3,U,5.0
49,2200454,http://www.directgeneral.com/learn/cheap-auto-insurance.aspx,3.1666666666666665,0.0,0.0,293.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5506.0,192484.0,11.0,10.0,0.0,1.0,4.0,2.914048125,13.0238668,business,19.0,78.0,13.0,30.0,8.0,1.0,3.0,com,0.0,1.0,3.0,2.0,0.0,0.0,6.0,0.75,0.666666667,0.774038122,0.8,0.0,2,U,4.0
50,2546745,http://guides.wsj.com/personal-finance/insurance/how-to-shop-for-health-insurance/,5.0,4.0,285600.0,1977.0,5.0,141.0,2.0,8.0,4.0,0.0,10.0,4.0,19.0,33.0,106.0,243.0,117.0,101.0,0.0,12.0,127.0,6.453167577,11.20814326,health,224.0,838.0,229.0,292.0,94.0,3.0,40.0,com,0.0,0.0,0.0,0.0,6.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,3,U,5.0
51,2198688,http://cdcloans.com/small-business/faq/,4.5,0.0,0.0,355.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1698614.0,37.0,56.0,0.0,0.0,7.0,4.792846052,11.20814326,business,65.0,307.0,83.0,158.0,33.0,3.0,8.0,com,0.0,0.0,1.0,1.0,4.0,0.0,6.0,0.75,0.75,0.726450451,0.666666667,0.0,3,U,2.0
52,2207873,http://www.ehow.com/info_7754132_business-relates-subprime-mortgage-market.html,4.571428571428571,4.0,96000.0,0.0,2.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,75967.0,95.0,38.0,98.0,0.0,7.0,62.0,5.107141925,14.55459255,business,81.0,722.0,140.0,138.0,37.0,7.0,30.0,com,0.0,0.0,0.0,3.0,4.0,0.0,7.0,0.785714286,0.785714286,0.811261115,0.657142857,0.0,3,U,4.0
53,2201286,http://www.aetna.com/,4.0,0.0,0.0,1029.0,7.0,291.0,29.0,203.0,137.0,0.0,124.0,126.0,371.0,621.0,6252.0,8793.0,3.0,3.0,0.0,1.0,13.0,3.040001192,28.0303837,business,6.0,167.0,6.0,7.0,1.0,3.0,8.0,com,0.0,0.0,3.0,1.0,3.0,1.0,8.0,0.571428571,0.30952381,0.644253572,0.485714286,-1.0,2,U,2.0
54,2546753,http://www.entrepreneur.com/article/201726,4.166666666666667,7.0,75000.0,716.0,3.0,21.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,27753.0,1452.0,11.0,17.0,0.0,3.0,22.0,3.361808813,13.0238668,business,20.0,116.0,24.0,30.0,8.0,1.0,1.0,com,0.0,0.0,1.0,3.0,2.0,0.0,6.0,0.75,0.666666667,0.774038122,0.666666667,0.0,2,U,3.0
55,2201378,http://articles.economictimes.indiatimes.com/2012-04-23/news/31387169_1_paper-gold-gold-value-physical-gold,3.4285714285714284,2.0,75000.0,592.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,774.0,131.0,37.0,36.0,0.0,1.0,20.0,3.804931304,11.20814326,business,56.0,200.0,67.0,93.0,24.0,2.0,18.0,com,1.0,0.0,1.0,5.0,0.0,0.0,7.0,0.714285714,0.619047619,0.625230837,0.771428571,0.0,2,U,3.0
56,2547104,http://www.investmentu.com/2008/October/investing-in-dividend-paying-stocks.html,4.25,10.0,111000.0,1591.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,54792.0,46.0,52.0,0.0,0.0,27.0,4.480601318,13.0238668,business,72.0,352.0,84.0,135.0,42.0,3.0,3.0,com,0.0,0.0,1.0,1.0,2.0,1.0,5.0,0.625,0.625,0.691800413,0.5,-1.0,2,U,4.0
